,Country,Year,MtCO2e
1030,Equatorial Guinea,2015,15.685570077052496
1031,Eritrea,2015,5.667354830068867
1032,Estonia,2015,2.8393162420033153
1033,Ethiopia,2015,128.7898655653984
1034,Fiji,2015,0.9534381406748771
1035,Finland,2015,14.649002863056106
1036,France,2015,156.52891798199772
1037,Gabon,2015,2.125729924490809
1038,Gambia,2015,7.707222371703417
1039,Georgia,2015,7.945543507802124
1040,Germany,2015,110.9612537655573
1041,Ghana,2015,17.965513876951448
1042,Greece,2015,16.744559410398367
1043,Grenada,2015,1.708086656385344
1044,Guatemala,2015,25.05471993536128
1045,Guinea,2015,19.134005135313114
1046,Guinea-Bissau,2015,2.009548353176579
1047,Guyana,2015,2.3028767912470993
1048,Haiti,2015,6.067085084080304
1049,Holy See,2015,0.00033496058798472035
1050,Honduras,2015,12.32909269115133
1051,Hungary,2015,17.275609296031
1052,Iceland,2015,1.0711200433750077
1053,India,2015,664.942571716685
1054,Indonesia,2015,402.12341756378356
1055,Iran,2015,141.8293479796351
1056,Iraq,2015,124.87733299501703
1057,Ireland,2015,22.194151275106822
1058,Israel,2015,20.446270679655317
1059,Italy,2015,84.56008010153225
1060,Jamaica,2015,3.869006008229353
1061,Japan,2015,105.3884952595201
1062,Jordan,2015,5.61173841009403
1063,Kazakhstan,2015,68.8978731982843
1064,Kenya,2015,36.56137675514704
1065,Kiribati,2015,0.019908328955743033
1066,Kuwait,2015,111.10402365077036
1067,Kyrgyzstan,2015,3.7679093526208156
1068,Laos,2015,20.707114135069045
1069,Latvia,2015,4.5223801616084565
1070,Lebanon,2015,3.8611684854437764
1071,Lesotho,2015,2.339214067186302
1072,Liberia,2015,1.2461275608888938
1073,Libya,2015,74.83979338034167
1074,Liechtenstein,2015,0.034885076188369696
1075,Lithuania,2015,8.085136804220191
1076,Luxembourg,2015,1.102126586168513
1077,Macedonia,2015,4.3069449105738835
1078,Madagascar,2015,49.330113946209664
1079,Malawi,2015,18.35359671449332
1080,Malaysia,2015,96.09131524044766
1081,Maldives,2015,0.08905787355711091
1082,Mali,2015,28.495825996878526
1083,Malta,2015,0.6364915949698791
1084,Marshall Islands,2015,0.037953761368550026
1085,Mauritania,2015,7.7090923604481345
1086,Mauritius,2015,1.9991522858917348
1087,Mexico,2015,249.5632968278275
1088,Micronesia (Federated States of),2015,0.03791534814262205
1089,Moldova,2015,4.5487889439272955
1090,Monaco,2015,0.0386670415494312
1091,Mongolia,2015,18.92774148993981
1092,Montenegro,2015,1.1063398216469906
1093,Morocco,2015,39.995863458774224
1094,Mozambique,2015,24.251601720113147
1095,Namibia,2015,13.228828172666415
1096,Nauru,2015,0.010373540322377962
1097,Nepal,2015,36.923589683836035
1098,Netherlands,2015,30.91586428163331
1099,New Zealand,2015,41.39893040269537
1100,Nicaragua,2015,13.9613564499619
1101,Niger,2015,20.43342792331888
1102,Nigeria,2015,257.91605202365486
1103,Niue,2015,0.10294016022846185
1104,North Korea,2015,30.657343194371986
1105,Norway,2015,10.312667177610573
1106,Oman,2015,41.468470709831664
1107,Pakistan,2015,169.54903167743598
1108,Palau,2015,0.27518074442521756
1109,Panama,2015,6.406282901585182
1110,Papua New Guinea,2015,8.067065442959224
1111,Paraguay,2015,38.344636194520746
1112,Peru,2015,36.204290199572846
1113,Philippines,2015,68.31737712620264
1114,Poland,2015,67.91580553298851
1115,Portugal,2015,19.728762015172787
1116,Qatar,2015,5.6838559673657745
1117,Romania,2015,50.265538464810476
1118,Russia,2015,676.1002984154668
1119,Rwanda,2015,4.443769819544919
1120,Saint Kitts and Nevis,2015,0.11548362993102326
1121,Saint Lucia,2015,0.7284209461494744
1122,Saint Vincent and the Grenadines,2015,0.07034041327978559
1123,Samoa,2015,0.23869027734819895
1124,San Marino,2015,0.03175963166239466
1125,Sao Tome and Principe,2015,0.07785379645086472
1126,Saudi Arabia,2015,56.38463928811075
1127,Senegal,2015,16.637176056319916
1128,Serbia,2015,13.206659937115644
1129,Seychelles,2015,0.07080631395270968
1130,Sierra Leone,2015,4.764599324592633
1131,Singapore,2015,7.499071334510198
1132,Slovakia,2015,6.828730564395674
1133,Slovenia,2015,3.982633850524776
1134,Solomon Islands,2015,0.3786844511309388
1135,Somalia,2015,23.88735781849892
1136,South Africa,2015,87.939356293004
1137,South Korea,2015,85.42638042209944
1138,Spain,2015,74.1380279587371
1139,Sri Lanka,2015,29.363896310547116
1140,Sudan,2015,158.1669788169502
1141,Suriname,2015,2.0135083070961652
1142,Swaziland,2015,1.8919308946320357
1143,Sweden,2015,13.27861296020678
1144,Switzerland,2015,8.515500797591214
1145,Syria,2015,38.493864912787565
1146,Tajikistan,2015,8.33552752274763
1147,Tanzania,2015,68.98276705267888
1148,Thailand,2015,98.15302561982713
1149,Timor-Leste,2015,1.4286698850152246
1150,Togo,2015,7.170931304453547
1151,Tonga,2015,0.22673147949829184
1152,Trinidad and Tobago,2015,1.4780255590043838
1153,Tunisia,2015,9.6456076609946
1154,Turkey,2015,90.99908536761414
1155,Turkmenistan,2015,49.5701185193907
1156,Tuvalu,2015,0.00870289382025212
1157,Uganda,2015,25.337155088441413
1158,Ukraine,2015,105.88059302290428
1159,United Arab Emirates,2015,37.52783883137069
1160,United Kingdom,2015,98.86217937865048
1161,United States,2015,1298.5646938657992
1162,Uruguay,2015,28.930758539168707
1163,Uzbekistan,2015,122.93120123559277
1164,Vanuatu,2015,0.5063960848008162
1165,Venezuela,2015,89.72073642414459
1166,Vietnam,2015,115.11864021857208
1167,Yemen,2015,9.078155817462983
1168,Zambia,2015,67.78473756114953
1169,Zimbabwe,2015,12.050680731394026
1170,Afghanistan,2020,22.656848306760246
1171,Albania,2020,2.838887790878154
1172,Algeria,2020,63.0642973528116
1173,Andorra,2020,0.06377801565021798
1174,Angola,2020,198.52984089380817
1175,Antigua and Barbuda,2020,0.8742030416724111
1176,Argentina,2020,202.4324354259781
1177,Armenia,2020,3.2650138576361205
1178,Australia,2020,178.07092165892422
1179,Austria,2020,13.95679079780751
1180,Azerbaijan,2020,44.45777137114914
1181,Bahamas,2020,0.34709395916605595
1182,Bahrain,2020,5.057178525247806
1183,Bangladesh,2020,86.70902221367056
1184,Barbados,2020,2.15042166067116
1185,Belarus,2020,30.13783069895969
1186,Belgium,2020,19.31472462384331
1187,Belize,2020,10.289285941460086
1188,Benin,2020,13.560156559913812
1189,Bhutan,2020,1.1087331540507928
1190,Bolivia,2020,48.85085916034443
1191,Bosnia and Herzegovina,2020,6.802975813261277
1192,Botswana,2020,7.353275041855265
1193,Brazil,2020,727.2304579339652
1194,Brunei,2020,14.474108376400903
1195,Bulgaria,2020,15.656999628357498
1196,Burkina Faso,2020,22.626835629191508
1197,Burma,2020,162.588971642312
1198,Burundi,2020,42.73938261537464
1199,Cambodia,2020,24.130298410326976
1200,Cameroon,2020,83.5913103407044
1201,Canada,2020,204.564545501056
1202,Cape Verde,2020,0.40550047902146685
1203,Central African Republic,2020,94.14727405833952
1204,Chad,2020,41.3379063338195
1205,Chile,2020,25.54641665564932
1206,China,2020,1876.9452446064413
