,Country Name,Date,CO2 emissions (million tons),Country Code,Lat,Lng
3744,Mozambique,1980,2.343329,MOZ,-18.665695,35.529562
3745,Mozambique,1981,2.033976,MOZ,-18.665695,35.529562
3746,Mozambique,1982,1.860488,MOZ,-18.665695,35.529562
3747,Mozambique,1983,1.721353,MOZ,-18.665695,35.529562
3748,Mozambique,1984,1.468862,MOZ,-18.665695,35.529562
3749,Mozambique,1985,1.504154,MOZ,-18.665695,35.529562
3750,Mozambique,1986,1.471128,MOZ,-18.665695,35.529562
3751,Mozambique,1987,1.470243,MOZ,-18.665695,35.529562
3752,Mozambique,1988,1.482472,MOZ,-18.665695,35.529562
3753,Mozambique,1989,1.459046,MOZ,-18.665695,35.529562
3754,Mozambique,1990,1.084831,MOZ,-18.665695,35.529562
3755,Mozambique,1991,0.903332,MOZ,-18.665695,35.529562
3756,Mozambique,1992,1.085147,MOZ,-18.665695,35.529562
3757,Mozambique,1993,1.280413,MOZ,-18.665695,35.529562
3758,Mozambique,1994,1.072361,MOZ,-18.665695,35.529562
3759,Mozambique,1995,1.148226,MOZ,-18.665695,35.529562
3760,Mozambique,1996,1.088453,MOZ,-18.665695,35.529562
3761,Mozambique,1997,1.198299,MOZ,-18.665695,35.529562
3762,Mozambique,1998,1.155733,MOZ,-18.665695,35.529562
3763,Mozambique,1999,1.146291,MOZ,-18.665695,35.529562
3764,Mozambique,2000,1.317721,MOZ,-18.665695,35.529562
3765,Mozambique,2001,1.304815,MOZ,-18.665695,35.529562
3766,Mozambique,2002,1.374402,MOZ,-18.665695,35.529562
3767,Mozambique,2003,1.664918,MOZ,-18.665695,35.529562
3768,Mozambique,2004,1.691163,MOZ,-18.665695,35.529562
3769,Mozambique,2005,1.514919,MOZ,-18.665695,35.529562
3770,Mozambique,2006,1.623487,MOZ,-18.665695,35.529562
3771,Mozambique,2007,1.973156,MOZ,-18.665695,35.529562
3772,Mozambique,2008,1.952469,MOZ,-18.665695,35.529562
3773,Mozambique,2009,2.21395,MOZ,-18.665695,35.529562
3774,Mozambique,2010,2.377492,MOZ,-18.665695,35.529562
3775,Mozambique,2011,2.824377,MOZ,-18.665695,35.529562
3776,Mozambique,2012,2.622461,MOZ,-18.665695,35.529562
3777,Mozambique,2013,2.955268,MOZ,-18.665695,35.529562
3778,Mozambique,2014,4.699199,MOZ,-18.665695,35.529562
3779,Mozambique,2015,6.221087,MOZ,-18.665695,35.529562
3780,Namibia,1971,..,NAM,-22.95764,18.49041
3781,Namibia,1972,..,NAM,-22.95764,18.49041
3782,Namibia,1973,..,NAM,-22.95764,18.49041
3783,Namibia,1974,..,NAM,-22.95764,18.49041
3784,Namibia,1975,..,NAM,-22.95764,18.49041
3785,Namibia,1976,..,NAM,-22.95764,18.49041
3786,Namibia,1977,..,NAM,-22.95764,18.49041
3787,Namibia,1978,..,NAM,-22.95764,18.49041
3788,Namibia,1979,..,NAM,-22.95764,18.49041
3789,Namibia,1980,..,NAM,-22.95764,18.49041
3790,Namibia,1981,..,NAM,-22.95764,18.49041
3791,Namibia,1982,..,NAM,-22.95764,18.49041
3792,Namibia,1983,..,NAM,-22.95764,18.49041
3793,Namibia,1984,..,NAM,-22.95764,18.49041
3794,Namibia,1985,..,NAM,-22.95764,18.49041
3795,Namibia,1986,..,NAM,-22.95764,18.49041
3796,Namibia,1987,..,NAM,-22.95764,18.49041
3797,Namibia,1988,..,NAM,-22.95764,18.49041
3798,Namibia,1989,..,NAM,-22.95764,18.49041
3799,Namibia,1990,..,NAM,-22.95764,18.49041
3800,Namibia,1991,1.132806,NAM,-22.95764,18.49041
3801,Namibia,1992,1.233002,NAM,-22.95764,18.49041
3802,Namibia,1993,1.43249,NAM,-22.95764,18.49041
3803,Namibia,1994,1.654074,NAM,-22.95764,18.49041
3804,Namibia,1995,1.794288,NAM,-22.95764,18.49041
3805,Namibia,1996,1.923671,NAM,-22.95764,18.49041
3806,Namibia,1997,1.973528,NAM,-22.95764,18.49041
3807,Namibia,1998,2.020546,NAM,-22.95764,18.49041
3808,Namibia,1999,1.975976,NAM,-22.95764,18.49041
3809,Namibia,2000,1.903499,NAM,-22.95764,18.49041
3810,Namibia,2001,2.432816,NAM,-22.95764,18.49041
3811,Namibia,2002,2.116696,NAM,-22.95764,18.49041
3812,Namibia,2003,2.241937,NAM,-22.95764,18.49041
3813,Namibia,2004,2.337835,NAM,-22.95764,18.49041
3814,Namibia,2005,2.492652,NAM,-22.95764,18.49041
3815,Namibia,2006,2.507824,NAM,-22.95764,18.49041
3816,Namibia,2007,2.580865,NAM,-22.95764,18.49041
3817,Namibia,2008,2.925312,NAM,-22.95764,18.49041
3818,Namibia,2009,2.983469,NAM,-22.95764,18.49041
3819,Namibia,2010,3.078895,NAM,-22.95764,18.49041
3820,Namibia,2011,3.133855,NAM,-22.95764,18.49041
3821,Namibia,2012,3.253369,NAM,-22.95764,18.49041
3822,Namibia,2013,3.460988,NAM,-22.95764,18.49041
3823,Namibia,2014,3.619834,NAM,-22.95764,18.49041
3824,Namibia,2015,3.858399,NAM,-22.95764,18.49041
3825,Niger,1971,..,NER,17.607789,8.081666
3826,Niger,1972,..,NER,17.607789,8.081666
3827,Niger,1973,..,NER,17.607789,8.081666
3828,Niger,1974,..,NER,17.607789,8.081666
3829,Niger,1975,..,NER,17.607789,8.081666
3830,Niger,1976,..,NER,17.607789,8.081666
3831,Niger,1977,..,NER,17.607789,8.081666
3832,Niger,1978,..,NER,17.607789,8.081666
3833,Niger,1979,..,NER,17.607789,8.081666
3834,Niger,1980,..,NER,17.607789,8.081666
3835,Niger,1981,..,NER,17.607789,8.081666
3836,Niger,1982,..,NER,17.607789,8.081666
3837,Niger,1983,..,NER,17.607789,8.081666
3838,Niger,1984,..,NER,17.607789,8.081666
3839,Niger,1985,..,NER,17.607789,8.081666
3840,Niger,1986,..,NER,17.607789,8.081666
3841,Niger,1987,..,NER,17.607789,8.081666
3842,Niger,1988,..,NER,17.607789,8.081666
3843,Niger,1989,..,NER,17.607789,8.081666
3844,Niger,1990,..,NER,17.607789,8.081666
3845,Niger,1991,..,NER,17.607789,8.081666
3846,Niger,1992,..,NER,17.607789,8.081666
3847,Niger,1993,..,NER,17.607789,8.081666
3848,Niger,1994,..,NER,17.607789,8.081666
3849,Niger,1995,..,NER,17.607789,8.081666
3850,Niger,1996,..,NER,17.607789,8.081666
3851,Niger,1997,..,NER,17.607789,8.081666
3852,Niger,1998,..,NER,17.607789,8.081666
3853,Niger,1999,..,NER,17.607789,8.081666
3854,Niger,2000,0.650995,NER,17.607789,8.081666
3855,Niger,2001,0.646706,NER,17.607789,8.081666
3856,Niger,2002,0.674977,NER,17.607789,8.081666
3857,Niger,2003,0.73905,NER,17.607789,8.081666
3858,Niger,2004,0.772818,NER,17.607789,8.081666
3859,Niger,2005,0.736144,NER,17.607789,8.081666
3860,Niger,2006,0.729631,NER,17.607789,8.081666
3861,Niger,2007,0.80367,NER,17.607789,8.081666
3862,Niger,2008,0.842418,NER,17.607789,8.081666
3863,Niger,2009,1.068423,NER,17.607789,8.081666
3864,Niger,2010,1.358855,NER,17.607789,8.081666
3865,Niger,2011,1.3798,NER,17.607789,8.081666
3866,Niger,2012,1.866202,NER,17.607789,8.081666
3867,Niger,2013,1.779983,NER,17.607789,8.081666
3868,Niger,2014,1.969994,NER,17.607789,8.081666
3869,Niger,2015,1.953955,NER,17.607789,8.081666
3870,Nigeria,1971,5.699087,NGA,9.081999,8.675277
3871,Nigeria,1972,6.844628,NGA,9.081999,8.675277
3872,Nigeria,1973,8.417153,NGA,9.081999,8.675277
3873,Nigeria,1974,9.200067,NGA,9.081999,8.675277
3874,Nigeria,1975,10.816425,NGA,9.081999,8.675277
3875,Nigeria,1976,13.711857,NGA,9.081999,8.675277
3876,Nigeria,1977,16.809831,NGA,9.081999,8.675277
3877,Nigeria,1978,20.463966,NGA,9.081999,8.675277
3878,Nigeria,1979,21.072207,NGA,9.081999,8.675277
3879,Nigeria,1980,25.354711,NGA,9.081999,8.675277
3880,Nigeria,1981,28.336338,NGA,9.081999,8.675277
3881,Nigeria,1982,32.01894,NGA,9.081999,8.675277
3882,Nigeria,1983,33.045589,NGA,9.081999,8.675277
3883,Nigeria,1984,30.490718,NGA,9.081999,8.675277
3884,Nigeria,1985,31.785039,NGA,9.081999,8.675277
3885,Nigeria,1986,30.300692,NGA,9.081999,8.675277
3886,Nigeria,1987,31.179047,NGA,9.081999,8.675277
3887,Nigeria,1988,32.652055,NGA,9.081999,8.675277
3888,Nigeria,1989,33.152599,NGA,9.081999,8.675277
3889,Nigeria,1990,28.063613,NGA,9.081999,8.675277
3890,Nigeria,1991,32.882617,NGA,9.081999,8.675277
3891,Nigeria,1992,39.618963,NGA,9.081999,8.675277
3892,Nigeria,1993,36.167201,NGA,9.081999,8.675277
3893,Nigeria,1994,30.493465,NGA,9.081999,8.675277
3894,Nigeria,1995,32.775287,NGA,9.081999,8.675277
3895,Nigeria,1996,36.420383,NGA,9.081999,8.675277
3896,Nigeria,1997,41.379822,NGA,9.081999,8.675277
3897,Nigeria,1998,37.526018,NGA,9.081999,8.675277
3898,Nigeria,1999,39.348344,NGA,9.081999,8.675277
3899,Nigeria,2000,43.766126,NGA,9.081999,8.675277
3900,Nigeria,2001,49.224236,NGA,9.081999,8.675277
