Country Code,Date,GDP,GDP Per Capita
ESP,2007,1466966823610.29,39598.9070792721
ESP,2006,1362250063103.38,38935.2472156638
ESP,2005,1205129771230.45,38038.3734434592
ESP,2004,1121116894298.13,37323.3712118714
ESP,2003,1055482611361.23,36823.0529738928
ESP,2002,1009753311276.12,36409.3505441254
ESP,2001,937884907929.823,35945.6338774218
ESP,2000,875954915805.158,34826.2887416304
ESP,1999,805891424628.996,33238.6602822338
ESP,1998,768118004304.831,31939.4207151329
ESP,1997,717296290770.854,30722.2357999262
ESP,1996,676109381996.694,29749.7601447858
ESP,1995,645825650574.822,29099.7256940767
ESP,1994,615587227842.629,28444.1013710492
ESP,1993,588687607420.773,27914.5876388367
ESP,1992,581056411334.864,28352.1630988327
ESP,1991,562879226861.518,28229.0519397
ESP,1990,530948358917.284,27598.3402344234
NLD,2019,1034542899621.25,57141.3702839618
NLD,2018,991941839767.178,56454.9252056674
NLD,2017,948181470187.003,55347.9123930263
NLD,2016,890398578051.304,54101.2651616307
NLD,2015,852113154375.18,53223.4426476495
NLD,2014,830318571509.821,52432.6191986655
NLD,2013,827475738129.662,51883.1243700698
NLD,2012,792042289740.032,52104.1389950633
NLD,2011,777880906388.857,52841.767452256
NLD,2010,748922932716.248,52277.8834518946
NLD,2009,737252338565.806,51850.500536906
NLD,2008,763407743799.947,54101.692850208
NLD,2007,719050417259.904,53158.9943147889
NLD,2006,669606824526.415,51337.8560051578
NLD,2005,614044200508.505,49700.2574289129
NLD,2004,582518266772.469,48815.3814206417
NLD,2003,553482674322.596,48031.8909543129
NLD,2002,556285472929.846,48184.0512096001
NLD,2001,532642937201.143,48387.4564829621
NLD,2000,507749234175.488,47645.3993288837
NLD,1999,462796668420.942,46054.8765554336
NLD,1998,435222448623.673,44140.3445465932
NLD,1997,406005938609.433,42434.2733541233
NLD,1996,380056949266.188,40883.4095787303
NLD,1995,361787314768.259,39684.0375649945
NLD,1994,343648990806.356,38675.3935872713
NLD,1993,326787556452.904,37790.2816530157
NLD,1992,315259523221.25,37581.9836329706
