Country Name,Country Code,UN Status,Time,Time Code,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM]
Finland,FIN,Developed,2015,YR2015,100,100,100,100,6.365684433,30525,44.49903057,418361.2,43.23526259,68597,967638.8553
Sweden,SWE,Developed,2015,YR2015,100,100,100,100,4.269061194,102442,63.26274771,679811.9,53.2477698,161931,1276695.536
Cyprus,CYP,Developed,2015,YR2015,100,100,100,100,3.274623243,398,8.780057357,5857.732,9.942066016,4533,58918.65926
Czech Republic,CZE,Developed,2015,YR2015,97.17,100,100,100,5.507708699,9422,11.40457054,142773.3,14.82856195,82616,962826.338
Estonia,EST,Other,2015,YR2015,92.61,100,100,100,6.317018358,1502,14.4187386,31570.59,27.47683347,10417,114898.9386
Hungary,HUN,Developed,2015,YR2015,100,100,100,100,4.318311506,3211,10.58269066,110073.3,15.55936205,30342,707440.9583
Latvia,LVA,Developed,2015,YR2015,95.05,100,100,100,3.914124071,2776,50.17169709,58759.11,38.09801717,5533,154231.4125
Malta,MLT,Other,2015,YR2015,100,100,100,100,1.808454095,100,7.674597084,1026.089,5.355004746,1303,19161.30888
Poland,POL,Developed,2015,YR2015,100,100,100,100,4.135685203,22683,13.80239867,302285.7,11.91148821,164341,2537766.018
Slovak Republic,SVK,Developed,2015,YR2015,96.72,100,100,100,4.478552766,6040,22.67948333,50516.66,13.40916822,26632,376732.2415
Slovenia,SVN,Developed,2015,YR2015,95.99,100,100,100,4.582203127,4355,29.39191469,40762.94,20.87739614,14817,195249.1571
Bulgaria,BGR,Developed,2015,YR2015,88.42,100,100,100,6.384174926,8768,17.988593,69034.96,17.65007793,48742,391131.1909
Romania,ROU,Developed,2015,YR2015,85.33,100,100,100,3.52,26202,39.7469737,211769.1,23.69779403,65922,893623.6838
Croatia,HRV,Developed,2015,YR2015,92.28,100,100,100,4.053076043,7510,66.82683752,89589.79,33.12746664,11238,270439.6053
Afghanistan,AFG,Other,2015,YR2015,30.1,64.2,71.5,92.5,2.457705002,889.5,86.05011125,25134.53,18.42347717,1033.7,136426.6353
Albania,ALB,Transition,2015,YR2015,75.37,100,100,100,2.886611482,5895,100,31555.45,38.61521047,5895,81717.66932
