Country Name,Country Code,UN Status,Time,Time Code,Access to Clean Fuels and Technologies for cooking (% of total population) [2.1_ACCESS.CFT.TOT],Access to electricity (% of rural population with access) [1.2_ACCESS.ELECTRICITY.RURAL],Access to electricity (% of total population) [1.1_ACCESS.ELECTRICITY.TOT],Access to electricity (% of urban population with access) [1.3_ACCESS.ELECTRICITY.URBAN],Energy intensity level of primary energy (MJ/2011 USD PPP) [6.1_PRIMARY.ENERGY.INTENSITY],Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable electricity share of total electricity output (%) [4.1_SHARE.RE.IN.ELECTRICITY],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION],Renewable energy share of TFEC (%) [2.1_SHARE.TOTAL.RE.IN.TFEC],Total electricity output (GWh) [4.1.1_TOTAL.ELECTRICITY.OUTPUT],Total final energy consumption (TFEC) (TJ) [1.1_TOTAL.FINAL.ENERGY.CONSUM]
Rwanda,RWA,Developing,2015,YR2015,0.56,12.4,22.8,72.9,4.884855418,297.95,56.88782816,68929.6,86.65537429,523.75,79544.51823
Saint Pierre et Miquelon,SPM,Other,2015,YR2015,..,..,..,..,..,0.87,1.758641601,8.298344,1.123308981,49.47,738.741
Samoa,WSM,Other,2015,YR2015,31.53,100,99.9382782,99.61303711,5.212621934,40.7,30.35048471,1423.329,34.32489441,134.1,4146.637665
San Marino,SMR,Other,2015,YR2015,100,100,100,100,..,0,0,0,..,..,0
Sao Tome and Principe,STP,Developing,2015,YR2015,17.88,49.91065555,64.51014709,72.33972931,4.663174066,7.3,10.47345768,802.6961,41.05599898,69.7,1955.125
Saudi Arabia,SAU,Developing,2015,YR2015,95.99,100,100,100,5.798652183,1,0.000295564,285.306,0.005976542,338336,4773763.695
Senegal,SEN,Developing,2015,YR2015,31.82,31.8,60.5,86.9,4.976766802,412,10.41719343,48778.32,42.71175163,3955,114203.5111
Serbia,SRB,Transition,2015,YR2015,75.02,99.96153479,99.98274231,99.99971008,6.55752524,10115,26.90517356,69936.12,21.17388528,37595,330294.2237
Seychelles,SYC,Other,2015,YR2015,90.23,99.83879587,99.67832184,99.54100037,2.641402995,9,2.380952381,57.87324,1.352935548,378,4277.6051
Sierra Leone,SLE,Developing,2015,YR2015,0.93,..,16.46837616,43.43280792,6.996643751,125,60.97560976,42555.34,77.66055863,205,54796.5927
Singapore,SGP,Developing,2015,YR2015,100,..,100,100,2.394855513,918,1.820886641,3115.195,0.708635297,50415,439604.8309
Sint Maarten (Dutch part),SXM,Other,2015,YR2015,..,..,100,100,..,0,0,3.8635,0.046334032,432.5,8338.3635
Solomon Islands,SLB,Other,2015,YR2015,8.36,52.6,55.1,67.6,5.017832858,2.19,2.262630437,3214.943,63.3074464,96.79,5078.3015
Somalia,SOM,Developing,2015,YR2015,2.12,10.84334807,28.29240417,54.96121216,..,0,0,98912.04,94.28596661,350,104906.4283
South Africa,ZAF,Developing,2015,YR2015,83.64,72.8518332,85.5,92.37030792,8.69932535,5564,2.255041826,504710.1,17.15014125,246736,2942891.797
South Sudan,SSD,Other,2015,YR2015,0.63,5.058768381,7.935427666,20.35689163,1.08609817,2,0.606060606,6898.052,39.07438432,330,17653.6422
Sri Lanka,LKA,Developing,2015,YR2015,25.44,92.58596244,93.88990021,99.68956757,2.06413179,6390,48.47519345,219348,52.87589204,13182,414835.5546
St. Helena,SHN,Other,2015,YR2015,..,..,..,..,..,2.28,22.50740375,12.408,12.59751705,10.13,98.4956
St. Kitts and Nevis,KNA,Other,2015,YR2015,100,99.90218378,99.93001556,99.98902893,2.560599732,10.3,4.571682202,30.47271,1.642191194,225.3,1855.6128
St. Lucia,LCA,Other,2015,YR2015,96.97,97.67428401,97.16307831,94.91159058,3.186267394,0,0,81.31652,2.132623536,381.268,3812.98052
St. Martin (French part),MAF,Other,2015,YR2015,..,..,70.75880432,88.97912598,..,0,0,0,..,..,0
St. Vincent and the Grenadines,VCT,Other,2015,YR2015,95.9,100,99.45506287,96.55905151,2.927983809,26,15.6626506,140.9913,5.807433397,166,2427.773
Sudan,SDN,Developing,2015,YR2015,38.95,21.71871119,38.00915527,69.90673828,3.956806753,8420,64.53590864,268611.1,61.59674748,13047,436080.0059
Suriname,SUR,Other,2015,YR2015,89.26,70.84483825,87.74467468,96.43399048,3.394167702,1356,60.05314438,6266.811,24.91311036,2258,25154.67121
Swaziland,SWZ,Other,2015,YR2015,48.52,58.17949558,62.99454498,80.7768631,4.611645818,231,46.57258065,23521.78,66.10465921,496,35582.6356
Switzerland,CHE,Developed,2015,YR2015,100,100,100,100,2.194576273,41111,62.19798175,195365.5,25.29198368,66097,772440.4003
Syrian Arab Republic,SYR,Developing,2015,YR2015,99.05,99.14160304,99.63652039,100,4.025233106,413,2.309714222,1299,0.521155172,17881,249253.9786
"Taiwan, China",TWN,Developing,2015,YR2015,..,..,..,..,..,9004,3.531118867,41598.43,2.115320238,254990,1966531.084
Tajikistan,TJK,Transition,2015,YR2015,78.55,99.99638422,99.9973526,100,5.010324752,16900,98.4733714,44129.53,44.65920392,17162,98813.96471
Tanzania,TZA,Developing,2015,YR2015,2.15,9,18.5,51.9,8.344200905,2150,34.15409055,804531.9,85.71304194,6295,938634.1703
Thailand,THA,Developing,2015,YR2015,74.33,99.5,99.6,99.7,5.411958252,15178,8.538478848,722010.9,22.86307013,177760,3157978.766
Timor-Leste,TLS,Other,2015,YR2015,6.53,56.02560386,67.28153394,90.37389374,..,0,0,886.095,18.22368928,350.3,4862.325
Togo,TGO,Developing,2015,YR2015,6.24,18.60855415,45.02854538,84.71802521,14.33932667,61,75.30864198,65965.75,71.26466714,81,92564.45395
Tonga,TON,Other,2015,YR2015,58.85,95.51814909,96.17545319,98.29018402,3.028574128,3.273,5.907409079,23.7621,1.879751582,55.405,1264.108525
Trinidad and Tobago,TTO,Developing,2015,YR2015,99.27,100,100,100,19.08907174,0,0,488.5158,0.284205764,10300,171888.0692
Tunisia,TUN,Developing,2015,YR2015,99.03,100,100,99.99919128,3.775394242,558,2.835942265,39988.56,12.56235035,19676,318320.6874
Turkey,TUR,Developing,2015,YR2015,..,100,100,100,2.946746679,83657,31.95662056,485424.7,13.37423004,261783,3629552.495
Turkmenistan,TKM,Transition,2015,YR2015,99.27,100,100,100,13.86409096,0,0,307.981,0.040887886,22534,753232.8691
Turks and Caicos Islands,TCA,Other,2015,YR2015,..,41.5379174,95.43219757,100,..,0,0,6.782585,0.572166001,239,1185.422585
Tuvalu,TUV,Other,2015,YR2015,48.5,97.78331274,99.0326767,99.87560272,3.910997784,2,28.16901408,0,0,7.1,88.266
Uganda,UGA,Developing,2015,YR2015,0.76,9,18.5,51.9,9.640117484,3227.8,92.95052698,471009,89.05794898,3472.6,528879.2358
Ukraine,UKR,Transition,2015,YR2015,95.49,100,100,100,11.79319991,7103,4.381646803,82440.89,4.144318039,162108,1989251.047
United Arab Emirates,ARE,Developing,2015,YR2015,98.63,100,100,100,5.080419658,296,0.232401112,2869.892,0.137108046,127366,2093160.892
Uruguay,URY,Developing,2015,YR2015,97.91,97.947709,99.70948,99.806205,3.093003656,12168,88.55895197,107022.2,58.02204118,13740,184450.9394
Uzbekistan,UZB,Transition,2015,YR2015,91.82,100,100,100,9.993375387,11830,20.65293296,34727.39,2.9701787,57280,1169202.042
Vanuatu,VUT,Other,2015,YR2015,12.72,28.95500681,44.66961288,89.10011292,3.865568055,13.5,21.25984252,873.3834,36.1110646,63.5,2418.6033
"Venezuela, RB",VEN,Developing,2015,YR2015,95.96,95.1020808,99.46073914,100,4.723961089,74899,63.6950421,195468.2,12.84157855,117590,1522150.873
Vietnam,VNM,Developing,2015,YR2015,63.81,100,100,100,5.944876024,56304,36.7320577,800189.5,34.99856984,153283,2286349.139
Virgin Islands (U.S.),VIR,Other,2015,YR2015,..,100,100,100,..,30.9,3.877525411,91.50184,3.877525214,796.9,2359.8
West Bank and Gaza,PSE,Other,2015,YR2015,..,100,100,100,..,0,0,6701.55,10.47271496,514.6,63990.57
"Yemen, Rep.",YEM,Developing,2015,YR2015,64.28,56.06463225,70.21390533,96.95139313,2.050356491,0,0,2433.201,2.276416687,5326,106887.3293
Zambia,ZMB,Developing,2015,YR2015,16.31,3.7,31.1,67.7,7.343625415,13035,96.99382395,301679.8,87.98545236,13439,342874.6366
Zimbabwe,ZWE,Developing,2015,YR2015,29.36,9.7,33.7,81.2,15.80389705,5119,52.72427644,324422.6,81.79780855,9709,396615.2709
